league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_1st_half_over05,pinnacle_1st_half_under05,pinnacle_ft_1,pinnacle_ft_2,pinnacle_ft_x,pinnacle_corners_over_85,pinnacle_corners_under_85,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_ft_over25,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_btts_yes,pinnacle_btts_no,temperature_celsius,wind_speed,humidity,clouds,pinnacle_1st_half_under15,pinnacle_1st_half_over15
LigaPro_Portugal_2a_división_2025-2026,2025/2026,1,Paços de Ferreira,FC Vizela,2025-08-09 10:00:00,1,2,3,4,4,8,2,8,1,0,3,7,7,9,10,16,19,21,36,64,Estádio da Capital do Móvel,"Rua do Estádio, Apartado 26, Paços de Ferreira",4,8,3.6,3.69,1.91,1.24,1.91,3.0,1.85,1.91,1.3,1.84,2.97,2.18,1.37,2.62,2.85,1.42,3,1,0,0,2,2,1,4841,0,0,0,-1,2,1,2,3,2,1,5,3,1,1,2,7,2,9,1,56,56,74,93,1.24,1.9,3.15,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,21,15,1,21,19,1,8,7,0,0,0,0,1.6,1.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,11,True,True,True,False,False,False,True,1.36,3.20,3.61,2.02,3.74,,,,,1.85,3.15,1.26,1.77,2.09,,9.33,44%,0%,1.46,2.78
LigaPro_Portugal_2a_división_2025-2026,2025/2026,1,Torreense,Sporting CP II,2025-08-09 13:00:00,0,1,1,5,4,9,3,2,0,0,2,2,9,7,11,9,14,6,45,55,Campo Manuel Marques,"Rua Cândido dos Reis, Torres Vedras",3,2,1.87,3.3,4.0,1.3,1.93,3.4,1.86,1.86,1.37,1.85,2.75,2.04,1.4,2.85,2.75,1.37,1,0,0,0,1,1,0,1029,0,0,0,-1,2,1,2,4,3,0,6,3,0,1,3,1,1,4,1,49,44,69,68,1.19,1.03,2.21,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,22,16,1,6,14,1,12,9,0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,True,False,False,False,False,False,False,1.42,2.91,1.93,4.32,3.42,,,1.75,2.04,2.07,3.63,1.34,1.91,1.92,,12.33,52%,0%,1.38,3.10
LigaPro_Portugal_2a_división_2025-2026,2025/2026,1,Portimonense,FC Penafiel,2025-08-09 17:00:00,2,1,3,6,6,12,3,3,0,0,7,4,16,6,23,10,16,21,53,47,Estádio Municipal de Portimão,"Avenida Zeca Afonso Portimão, Portimão",3,3,2.19,3.4,3.25,1.3,1.96,3.2,1.75,2.05,1.38,1.68,2.7,2.1,1.41,2.85,2.8,1.4,3,1,1,1,0,1,2,1025,0,0,0,-1,2,1,1,0,5,6,1,11,2,2,1,1,4,2,1,62,52,96,101,2.38,1.29,3.67,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,18,36,1,21,16,1,8,11,0,0,0,0,1.0,1.33,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,True,True,True,False,False,False,True,1.41,2.99,2.22,3.46,3.34,,,,,2.04,3.55,1.31,1.79,2.06,,6.49,56%,0%,1.40,3.02
LigaPro_Portugal_2a_división_2025-2026,2025/2026,1,GD Chaves,Benfica II,2025-08-10 10:00:00,1,1,2,3,3,6,3,3,0,0,2,1,17,5,19,6,11,21,70,30,Estádio Municipal Eng. Manuel Branco Teixeira,"Avenida do Estádio Municipal, Chaves",3,3,2.48,3.35,2.62,1.28,1.85,3.0,1.78,2.0,1.57,1.97,2.46,1.87,1.36,2.7,2.88,1.4,2,1,1,0,0,0,2,-1,0,0,0,-1,2,1,1,1,2,2,2,4,1,1,2,2,2,4,1,57,35,88,65,1.74,0.71,2.45,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,17,17,1,21,10,1,6,15,0,0,0,0,1.2,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,True,True,False,False,False,False,True,,,2.62,2.62,3.63,1.57,2.35,2.01,1.81,1.97,3.42,1.30,1.78,2.08,,8.3,27%,0%,,
LigaPro_Portugal_2a_división_2025-2026,2025/2026,1,CS Marítimo,Lusitania Lourosa,2025-08-10 13:00:00,0,1,1,3,5,8,3,2,2,0,5,6,13,6,18,12,16,11,55,45,Estádio dos Barreiros,"Rua do Dr. Pita, Ilha da Madeira",7,2,2.17,3.1,3.5,1.31,2.06,3.3,1.83,1.93,1.47,2.01,2.69,1.99,1.41,2.87,2.65,1.36,1,0,0,0,1,1,0,4894,0,0,0,-1,2,1,2,1,1,4,3,5,0,0,5,2,0,7,1,86,45,129,91,2.11,1.51,3.61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,25,15,1,11,16,1,4,16,0,0,0,0,1.33,1.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,11,True,False,False,False,False,False,False,1.44,2.85,2.14,3.67,3.34,,,,,2.12,3.77,1.35,1.88,1.95,,20.71,64%,20%,1.37,3.18
LigaPro_Portugal_2a_división_2025-2026,2025/2026,1,Leixões,Felgueiras 1932,2025-08-10 14:30:00,3,0,3,4,5,9,1,1,0,0,7,4,9,13,16,17,18,15,37,63,Estádio do Mar,"Lugar da Cruz de Pau, Matosinhos",1,1,2.6,3.1,2.7,1.38,2.19,3.8,1.8,1.85,1.47,1.65,2.62,2.05,1.47,3.0,2.73,1.33,3,2,0,1,0,1,2,1030,0,0,0,-1,2,1,2,2,2,3,4,5,0,1,1,0,1,1,1,33,42,77,76,1.74,1.65,3.39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,23,20,1,15,18,1,18,12,0,0,0,0,1.5,0.4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,True,True,True,False,False,False,False,1.47,2.73,2.78,2.78,3.14,1.47,2.62,1.81,2.00,2.27,4.16,1.39,1.91,1.92,,4.61,78%,0%,1.34,3.35
LigaPro_Portugal_2a_división_2025-2026,2025/2026,1,União de Leiria,Academico Viseu,2025-08-10 17:00:00,3,2,5,7,6,13,1,5,0,0,5,3,3,7,8,10,12,17,66,34,Estádio Pina Manique,"Rua Monsanto, Lisboa",1,5,1.91,3.25,3.7,1.33,1.93,3.44,1.82,1.85,1.48,2.05,2.45,1.91,1.4,2.85,2.7,1.37,5,1,1,2,1,3,2,4880,0,0,0,-1,2,1,3,6,4,0,9,4,0,0,1,5,0,6,1,52,35,89,51,1.24,1.09,2.33,0,0,0,0,0,0,1,1,0,0,0,5,0,0,1,26,23,1,17,12,1,5,4,0,0,0,0,2.0,1.33,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,11,True,True,True,True,True,False,True,1.41,2.85,2.07,3.89,3.34,1.53,2.45,1.91,1.91,2.10,3.71,1.34,1.88,1.96,,8.05,33%,0%,1.36,3.09
LigaPro_Portugal_2a_división_2025-2026,2025/2026,1,Porto II,CD Feirense,2025-08-10 17:00:00,0,0,0,4,6,10,1,2,0,0,3,3,5,13,8,16,8,18,68,32,Estádio Dr. Jorge Sampaio,"Rua da Paradela, Pedroso, Vila Nova de Gaia",1,2,1.95,3.36,3.9,1.33,2.1,3.8,1.95,1.82,1.53,2.12,2.45,1.84,1.45,3.0,2.62,1.34,0,0,0,0,0,0,0,-1,0,0,0,-1,2,1,3,3,1,3,6,4,1,1,0,1,2,1,1,27,23,73,64,0.92,1.38,2.3,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,17,30,1,18,8,1,8,7,0,0,0,0,0.8,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,False,False,False,False,False,False,False,1.45,2.80,1.97,4.15,3.42,,,,,2.20,3.99,1.38,1.97,1.86,,4.61,65%,0%,1.35,3.27
LigaPro_Portugal_2a_división_2025-2026,2025/2026,1,UD Oliveirense,Farense,2025-08-11 17:00:00,1,1,2,1,10,11,2,5,0,0,6,4,2,12,8,16,13,13,36,64,Estádio de Ribes,"Rua Associação Desportiva Oliveirense 100, Santa Maria de Oliveira",2,5,4.35,3.55,1.67,1.22,1.83,2.7,1.8,2.0,1.27,1.58,3.5,2.66,1.31,2.45,3.1,1.4,2,1,0,0,1,1,1,-1,0,0,0,-1,2,1,0,2,1,8,2,9,0,4,2,1,4,3,1,31,74,61,82,1.15,1.81,2.97,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,20,24,1,12,13,1,13,1,0,0,0,0,1.5,2.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,True,True,False,False,False,False,True,1.37,3.15,4.90,1.72,3.88,,,1.55,2.38,1.83,3.02,1.26,1.80,2.05,29.02,4.34,49%,0%,1.44,2.83
LigaPro_Portugal_2a_división_2025-2026,2025/2026,2,CD Feirense,Portimonense,2025-08-15 17:00:00,4,1,5,6,2,8,4,1,0,0,5,1,15,2,20,3,20,14,49,51,Estádio Marcolino de Castro,"Avenida 25 de Abril 14, Santa Maria da Feira",4,1,2.25,3.05,3.48,1.33,2.08,3.6,1.85,1.8,1.5,1.92,2.61,1.91,1.44,3.37,2.53,1.33,5,1,1,3,0,3,2,166,0,0,0,-1,2,1,4,1,2,1,5,3,1,1,3,0,2,3,1,75,35,114,83,2.15,0.53,2.68,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,40,20,1,13,20,1,2,13,0,0,0,0,1.4,1.5,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,10,True,True,True,True,True,False,True,1.47,2.72,2.07,4.08,3.21,,,,,2.21,4.01,1.37,1.97,1.87,,5.75,73%,0%,1.34,3.37
