league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_ft_over35,pinnacle_ft_over25,pinnacle_ft_over15,pinnacle_ft_1,pinnacle_ft_x,pinnacle_ft_2,pinnacle_1st_half_under15,pinnacle_1st_half_over05,pinnacle_1st_half_under05,pinnacle_1st_half_over15,pinnacle_corners_under_95,pinnacle_corners_over_95,pinnacle_corners_over_85,pinnacle_corners_under_85
Sweden_Allsvenskan_2026,2026,1,Degerfors,Sirius,2026-04-04 13:00:00,0,3,3,6,4,10,1,0,0,0,1,4,6,3,7,7,20,11,47,53,Stora Valla,"Stora Vallavägen 1, Degerfors",1,0,3.52,3.3,2.07,1.28,1.91,3.2,1.7,2.14,1.29,1.49,3.2,2.4,1.38,2.73,3.13,1.4,3,0,0,0,3,3,0,662,0,0,0,4015,2,1,3,3,3,1,6,4,0,0,1,0,0,1,1,49,38,93,85,0.87,1.01,1.88,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,24,23,1,11,19,1,10,6,0,0,0,0,0.8,2.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,True,True,True,False,False,False,False,3.14,1.92,1.27,3.60,3.43,2.11,,,,,2.52,1.49,,
Sweden_Allsvenskan_2026,2026,1,Hammarby,Mjällby,2026-04-04 13:00:00,3,0,3,2,3,5,2,4,0,0,5,7,10,7,15,14,17,16,53,47,Tele2 Arena,"Johanneshov, Stockholm",2,4,2.08,3.48,3.35,1.25,1.8,3.1,1.65,2.1,1.39,1.85,2.75,2.1,1.36,2.65,2.89,1.42,3,2,0,1,0,1,2,655,0,0,0,30162,2,1,1,1,1,2,2,3,2,0,0,4,2,4,1,46,34,105,70,1.63,1.62,3.25,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,11,12,1,16,17,1,8,11,0,0,0,0,2.6,1.6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,True,True,True,False,False,False,False,3.15,1.89,1.28,2.05,3.51,3.69,,,,,2.09,1.70,,
Sweden_Allsvenskan_2026,2026,1,Kalmar,Västerås SK,2026-04-05 12:00:00,0,1,1,14,5,19,1,2,0,1,3,2,13,2,16,4,15,20,58,42,Guldfågeln Arena,"Oxhagen, Bilen, Kalmar",1,3,2.12,3.2,3.5,1.4,2.15,3.62,1.91,1.85,1.34,1.72,2.97,2.23,1.44,2.75,2.5,1.39,1,0,1,0,0,0,1,2911,0,0,0,6789,2,1,7,0,7,5,7,12,0,1,1,2,1,3,1,47,33,95,77,1.56,0.64,2.2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,18,12,1,20,15,1,6,11,0,0,0,0,1.75,1.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,True,False,False,False,False,False,False,3.39,1.98,1.30,2.14,3.35,3.40,1.39,1.38,2.97,2.93,,,,
Sweden_Allsvenskan_2026,2026,1,AIK,Halmstad,2026-04-05 12:00:00,2,1,3,2,3,5,3,1,0,0,6,7,19,4,25,11,11,14,56,44,Friends Arena,"Råsta Strandväg 1, Solna",3,1,1.57,4.1,5.81,1.3,1.85,2.85,1.98,1.71,1.37,1.63,2.63,2.1,1.38,2.62,2.98,1.43,3,1,0,1,1,2,1,661,0,0,0,39085,2,1,2,2,0,1,4,1,0,1,3,0,1,3,1,64,33,110,80,2.45,1.43,3.88,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,24,13,1,14,11,1,2,10,0,0,0,0,1.5,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,True,True,True,False,False,False,True,3.41,1.94,1.30,1.56,4.21,5.43,1.39,1.38,2.98,2.93,2.06,1.71,,
Sweden_Allsvenskan_2026,2026,1,Örgryte,Malmö FF,2026-04-05 14:30:00,1,1,2,5,10,15,1,4,0,0,7,6,8,13,15,19,10,10,42,58,Gamla Ullevi,"Ullevigatan 5, Göteborg",1,4,5.21,3.88,1.62,1.2,1.67,2.64,1.7,2.1,1.38,1.68,2.83,2.12,1.3,2.49,3.04,1.46,2,0,0,1,1,2,0,-1,0,0,0,13360,2,1,5,5,0,5,10,5,1,1,0,3,2,3,1,29,48,75,108,1.65,1.97,3.61,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,21,24,1,10,10,1,16,5,0,0,0,0,0.67,1.4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,7,True,True,False,False,False,False,True,,,,5.43,4.09,1.58,,,,,2.12,1.68,,
Sweden_Allsvenskan_2026,2026,1,Elfsborg,IFK Göteborg,2026-04-06 12:00:00,2,0,2,6,7,13,1,4,0,0,5,1,10,11,15,12,12,7,40,60,Borås Arena,"Ălgårdsvägen 32, Borås",1,4,2.37,3.6,2.6,1.19,1.8,2.76,1.57,2.25,1.39,1.65,2.95,2.2,1.34,2.56,3.35,1.5,2,0,0,2,0,2,0,663,0,0,0,14344,2,1,1,3,5,4,4,9,0,2,1,2,2,3,1,47,42,84,96,1.63,1.14,2.77,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,21,29,1,7,12,1,11,11,0,0,0,0,2.2,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,7,True,True,False,False,False,False,False,3.81,2.17,1.36,2.26,3.16,3.51,,,,,2.27,1.60,,
Sweden_Allsvenskan_2026,2026,1,Häcken,Brommapojkarna,2026-04-06 12:00:00,2,2,4,6,3,9,2,1,0,0,3,4,14,3,17,7,13,17,61,39,Bravida Arena,"Inlandsgatan 48, Göteborg",2,1,1.53,4.5,5.4,1.17,1.56,2.12,1.62,2.15,1.26,1.43,3.28,2.6,1.25,2.35,3.34,1.57,4,0,1,2,1,3,1,-1,0,0,0,4104,2,1,4,3,2,0,7,2,0,0,2,1,0,3,1,62,37,130,56,1.74,0.99,2.73,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,26,19,1,17,13,1,2,12,0,0,0,0,2.0,1.4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,True,True,True,True,False,False,True,2.62,1.66,1.21,1.70,4.10,4.67,1.55,,,2.49,,,,
Sweden_Allsvenskan_2026,2026,1,GAIS,Djurgården,2026-04-06 14:30:00,0,1,1,2,10,12,2,1,0,0,6,5,5,7,11,12,14,7,52,48,Gamla Ullevi,"Ullevigatan 5, Göteborg",2,1,2.35,3.14,3.09,1.27,1.88,2.9,1.65,2.18,1.31,1.57,2.87,2.17,1.38,2.65,2.81,1.41,1,0,0,0,1,1,0,659,0,0,0,17165,2,1,2,3,0,7,5,7,1,1,1,0,2,1,1,54,53,118,107,1.52,1.5,3.01,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,21,25,1,7,14,1,6,8,0,0,0,0,1.6,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,True,False,False,False,False,False,False,3.50,2.06,1.33,2.18,3.24,3.62,1.38,1.42,2.89,3.10,2.17,1.67,,
Sweden_Allsvenskan_2026,2026,2,IFK Göteborg,Häcken,2026-04-11 13:00:00,0,2,2,9,3,12,3,6,1,0,7,7,12,5,19,12,8,19,68,32,Gamla Ullevi,"Ullevigatan 5, Göteborg",5,6,2.57,3.0,2.8,1.2,1.73,2.63,1.53,2.3,1.26,1.42,3.5,2.6,1.36,2.4,2.89,1.5,2,0,1,0,1,1,1,664,0,0,0,17457,2,1,4,3,5,0,7,5,0,3,4,3,3,7,1,46,26,111,61,2.02,1.43,3.46,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,20,16,1,18,8,1,4,12,0,0,0,0,0.33,2.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,7,True,True,False,False,False,False,False,2.77,1.75,1.22,3.09,3.23,2.44,1.51,,,2.60,2.56,1.46,,
Sweden_Allsvenskan_2026,2026,2,Mjällby,Örgryte,2026-04-11 13:00:00,0,2,2,12,3,15,1,3,0,0,5,4,17,4,22,8,8,18,64,36,Strandvallen,"Campingvägen 44, Hällevik, Sölvesborg",1,3,1.25,4.9,7.75,1.15,1.5,2.39,1.78,1.9,1.33,1.54,3.02,2.27,1.25,2.25,3.45,1.6,2,0,2,0,0,0,2,677,0,0,0,3884,2,1,4,2,8,1,6,9,1,1,0,2,2,2,1,91,24,134,66,2.39,0.96,3.36,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,22,19,1,18,8,1,1,18,0,0,0,0,1.5,0.75,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,7,True,True,False,False,False,False,False,2.47,1.58,1.19,1.32,5.50,9.34,,,,,2.53,1.48,,
Sweden_Allsvenskan_2026,2026,2,Västerås SK,Elfsborg,2026-04-11 13:00:00,2,2,4,8,3,11,0,2,0,0,3,3,6,5,9,8,9,13,51,49,,,0,2,2.68,3.45,2.58,1.3,2.0,3.18,1.6,1.99,1.38,1.63,2.93,2.21,1.36,2.85,3.0,1.37,4,0,0,2,2,4,0,-1,0,0,0,7449,2,1,0,2,8,1,2,9,0,1,0,1,1,1,1,59,36,97,97,1.21,0.99,2.2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,18,24,1,13,9,1,5,8,0,0,0,0,0.75,1.25,0.0,0.0,3.0,3.0,0,0,0.0,0.0,0.0,8,True,True,True,True,False,False,True,4.02,2.30,1.41,3.10,3.15,2.49,1.33,1.47,2.71,3.36,2.25,1.61,,
Sweden_Allsvenskan_2026,2026,2,Djurgården,Kalmar,2026-04-12 12:00:00,3,2,5,5,4,9,1,0,0,0,9,5,12,5,21,10,10,15,71,29,Tele2 Arena,"Johanneshov, Stockholm",1,0,1.62,3.7,4.5,1.25,1.9,3.3,1.8,1.86,1.34,1.58,2.98,2.27,1.36,2.77,2.88,1.39,5,2,2,1,0,1,4,659,0,0,0,26454,2,1,3,2,2,2,5,4,1,0,0,0,1,0,1,73,30,135,72,2.48,1.2,3.69,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,27,13,1,14,10,1,2,14,0,0,0,0,1.4,0.0,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,8,True,True,True,True,True,False,True,3.41,2.00,1.31,1.75,3.83,4.75,1.40,1.40,2.99,2.99,2.27,1.58,,
Sweden_Allsvenskan_2026,2026,2,Halmstad,Degerfors,2026-04-12 12:00:00,0,3,3,0,6,6,2,2,0,0,1,5,5,5,6,10,14,14,54,46,,,2,2,2.5,2.9,2.74,1.42,2.31,3.85,1.91,1.83,1.41,1.89,2.65,2.07,1.48,3.28,2.5,1.29,3,0,1,0,2,2,1,680,0,0,0,4638,2,1,0,3,0,3,3,3,0,0,2,2,0,4,1,37,56,108,93,0.73,1.39,2.12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,22,30,1,14,14,1,3,4,0,0,0,0,0.5,1.67,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,True,True,True,False,False,False,False,4.23,2.30,1.40,3.02,3.23,2.49,1.33,1.48,2.69,3.39,2.03,1.77,,
Sweden_Allsvenskan_2026,2026,2,Malmö FF,GAIS,2026-04-12 14:30:00,3,1,4,6,5,11,1,3,0,0,4,5,8,6,12,11,13,16,46,54,,,1,3,1.87,3.6,3.78,1.24,1.88,3.2,1.72,2.01,1.33,1.57,3.02,2.26,1.37,2.69,3.15,1.44,4,3,0,0,1,1,3,656,0,0,0,19500,2,1,3,1,3,4,4,7,1,2,0,1,3,1,1,47,45,90,98,1.38,1.38,2.76,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,23,18,1,16,13,1,11,9,0,0,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,8,True,True,True,True,False,False,True,3.15,1.87,1.28,1.78,3.93,4.39,,,,,2.25,1.60,,
Sweden_Allsvenskan_2026,2026,2,Sirius,Hammarby,2026-04-13 17:00:00,2,0,2,3,2,5,0,2,0,0,4,4,7,12,11,16,14,13,30,70,Studenternas IP,"Ulleråkersvägen 6, Uppsala",0,2,2.7,3.3,2.35,1.16,1.66,2.69,1.53,2.3,1.24,1.5,3.15,2.35,1.31,2.47,3.15,1.54,2,1,0,1,0,1,1,662,0,0,0,10306,2,1,3,1,0,1,4,1,0,0,0,2,0,2,1,48,53,67,129,1.32,1.68,3.0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,13,20,1,13,14,1,18,3,0,0,0,0,3.0,1.0,0.0,0.0,3.0,3.0,0,0,0.0,0.0,0.0,8,True,True,False,False,False,False,False,2.91,1.78,1.24,2.72,3.48,2.59,1.49,1.34,3.35,2.65,2.25,1.61,,
Sweden_Allsvenskan_2026,2026,2,Brommapojkarna,AIK,2026-04-13 17:00:00,2,2,4,4,9,13,2,3,0,0,4,5,8,9,12,14,5,8,44,56,Grimsta IP,"Gulddragargränd 100, Hässelby-Vällingby, Stockholm",2,3,3.8,3.5,1.87,1.21,1.72,2.76,1.62,2.1,1.39,1.56,2.95,2.15,1.33,2.57,3.04,1.44,4,0,0,2,2,4,0,-1,0,0,0,4421,2,1,2,4,2,5,6,7,2,1,0,2,3,2,1,30,61,68,126,1.25,1.68,2.94,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,21,22,1,8,5,1,8,6,0,0,0,0,1.33,0.75,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,8,True,True,True,True,False,False,True,3.02,1.80,1.26,3.88,3.77,1.92,1.47,1.36,3.22,2.74,2.15,1.66,,
Sweden_Allsvenskan_2026,2026,3,Degerfors,Elfsborg,2026-04-17 17:00:00,0,1,1,7,1,8,5,3,0,0,2,3,9,3,11,6,15,17,66,34,Stora Valla,"Stora Vallavägen 1, Degerfors",5,3,2.44,2.98,2.58,1.32,2.29,4.33,1.89,2.01,1.38,1.63,2.85,2.13,1.5,3.22,2.56,1.3,1,0,0,0,1,1,0,663,0,50,0,3112,2,1,3,0,4,1,3,5,2,0,3,3,2,6,1,47,41,94,83,1.18,0.89,2.07,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,29,25,1,17,15,1,3,5,100,100,0,0,0.8,1.25,0.0,1.0,1.5,2.0,0,0,0.87,0.99,1.86,8,True,False,False,False,False,False,False,4.29,2.34,1.42,2.65,3.23,2.82,,,,,2.20,1.63,,
