team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Angers SCO,16,8,8,0.12,1.25,2.62,76.25,0.0,1.75,4.62,0.25,34.25,0.38,2.0,13.5,11.38,8.38,0.88,1.5,0.12,0.12,0.0,44.12,0.12,11.0,6.38,4.62,18.25,1.27,1.5,0.0,0.5,2.0,68.12,0.12,1.25,2.62,0.12,26.38,0.75,0.62,9.75,10.88,9.12,1.38,0.62,0.12,0.12,0.0,38.88,0.0,7.5,5.0,2.5,13.88,0.85,1.25,2.19,9.31,2.19,0.38,0.44,1.06,0.31,1.38,0.81,3.88,5.44,100.0,62.5,25.0,18.75,12.5,0.0,37.5,3.42,3.71,4.31,4.61,9.33,9.86,1.38,2.73,3.01,1.44,1.83,1.93,1.65,2.13,2.13,1.69,1.3,1.94,3.39,1.45,2.98,2.86,1.47,1.89,2.0,1.67,2.09,2.22,1.75,1.36,2.08,3.13,0.06,0.88,2.31,72.18,0.06,1.5,3.62,0.18,30.32,0.56,1.31,11.62,11.13,8.75,0.12,0.12,0.0,41.5,0.06,9.25,5.69,3.56,16.07,1.06,1.38
Auxerre,16,9,7,0.0,2.22,4.22,88.44,0.0,3.0,5.78,0.11,43.89,0.56,1.56,14.0,14.33,5.33,1.22,1.11,0.22,0.22,0.0,43.11,0.56,11.89,8.0,3.89,17.89,1.34,2.22,0.14,1.14,1.86,89.57,0.14,2.29,4.14,0.29,37.14,1.0,2.29,14.0,13.0,7.57,2.0,0.57,0.14,0.14,0.0,45.14,0.14,10.57,6.57,4.0,19.29,1.22,2.0,2.44,9.62,2.44,0.56,0.5,0.94,0.44,1.38,1.06,3.88,5.75,93.75,62.5,43.75,25.0,6.25,6.25,43.75,3.31,3.69,3.81,3.86,5.11,5.38,1.37,2.76,3.0,1.44,2.0,1.81,1.56,2.06,2.3,1.82,1.28,1.94,3.22,1.41,2.88,2.99,1.46,2.05,1.85,1.62,2.03,2.28,1.8,1.33,1.99,3.25,0.06,1.75,3.19,88.93,0.06,2.69,5.06,0.19,40.94,0.75,1.88,14.0,13.75,6.31,0.18,0.18,0.0,44.0,0.38,11.31,7.37,3.94,18.5,1.29,2.12
Brest,16,8,8,0.38,0.88,2.62,100.0,0.0,1.62,5.5,0.5,39.5,0.62,2.88,13.38,10.12,7.75,1.38,1.5,0.25,0.25,0.0,44.0,0.12,15.25,10.38,4.88,17.62,1.59,1.38,0.0,1.62,2.0,91.25,0.0,2.38,3.25,0.25,38.75,0.62,0.88,13.38,12.0,6.62,2.0,1.12,0.38,0.38,0.0,43.75,0.12,9.12,5.88,3.25,19.75,1.09,2.12,3.0,9.5,3.0,0.69,0.88,1.06,0.38,1.44,1.56,3.5,4.88,87.5,75.0,62.5,37.5,25.0,12.5,50.0,3.14,3.56,3.66,3.75,3.75,3.73,1.34,2.62,3.15,1.47,2.08,1.71,1.64,2.1,2.18,1.74,1.25,1.83,2.99,1.38,2.72,3.12,1.5,2.2,1.74,1.66,2.08,2.21,1.75,1.32,1.89,3.07,0.19,1.25,2.31,95.62,0.0,2.0,4.38,0.38,39.12,0.62,1.88,13.38,11.06,7.18,0.32,0.32,0.0,43.88,0.12,12.18,8.13,4.06,18.69,1.34,1.75
Le Havre,16,8,8,0.0,0.62,2.88,95.88,0.12,1.62,5.25,0.75,54.38,1.0,2.38,14.38,12.88,5.75,1.0,1.12,0.12,0.12,0.0,49.88,0.0,13.75,9.5,4.25,21.62,1.56,1.62,0.0,1.12,1.75,77.12,0.12,2.12,3.62,0.0,36.75,0.88,1.88,13.75,12.75,8.88,1.75,0.5,0.0,0.0,0.0,41.38,0.12,9.62,6.5,3.12,14.62,1.1,1.88,2.19,8.69,2.19,0.38,0.44,1.06,0.31,1.38,0.81,3.69,5.0,81.25,50.0,37.5,25.0,6.25,6.25,43.75,2.96,3.19,4.11,4.11,6.77,7.41,1.35,2.72,3.03,1.44,1.93,1.84,1.66,2.04,2.18,1.73,1.26,1.89,3.2,1.41,2.97,2.96,1.43,1.98,1.9,1.63,2.04,2.25,1.78,1.34,1.97,3.22,0.0,0.87,2.32,86.5,0.12,1.87,4.44,0.38,45.56,0.94,2.13,14.07,12.82,7.32,0.06,0.06,0.0,45.63,0.06,11.68,8.0,3.68,18.12,1.33,1.75
Lens,17,8,9,0.12,1.12,2.5,82.75,0.0,1.88,7.25,0.38,43.62,0.62,2.62,12.25,11.62,5.0,0.5,2.0,0.25,0.25,0.0,49.25,0.12,14.88,9.25,5.62,17.75,1.65,1.62,0.11,1.56,2.22,88.56,0.22,2.44,5.11,0.44,42.67,0.78,2.89,14.22,12.56,7.44,1.0,1.67,0.11,0.11,0.0,49.33,0.22,13.33,8.33,5.0,16.22,1.5,2.11,2.59,10.53,2.59,0.59,0.71,0.88,0.41,1.29,1.29,4.41,5.06,94.12,82.35,64.71,11.76,5.88,0.0,47.06,2.06,2.07,3.93,3.94,2.79,2.89,1.31,2.46,3.29,1.53,2.18,1.66,1.57,2.01,2.23,1.78,1.21,1.72,2.74,1.35,2.53,3.24,1.56,2.32,1.67,1.59,1.98,2.32,1.85,1.27,1.74,2.78,0.11,1.35,2.35,85.83,0.12,2.18,6.12,0.41,43.12,0.7,2.76,13.29,12.12,6.29,0.18,0.18,0.0,49.29,0.17,14.06,8.76,5.29,16.94,1.57,1.88
Lille,17,9,8,0.11,1.0,2.67,104.44,0.0,1.78,5.78,0.44,51.44,0.67,3.11,11.11,12.78,5.33,0.89,1.78,0.33,0.33,0.0,51.22,0.11,14.89,10.11,4.78,16.44,1.65,1.56,0.25,2.0,2.88,110.62,0.0,3.75,6.38,0.62,58.12,1.25,3.5,13.0,13.75,7.5,1.75,2.12,0.0,0.0,0.0,59.5,0.5,14.12,9.12,5.0,18.25,1.67,2.75,3.24,10.59,3.24,0.59,0.35,1.18,1.12,2.29,0.94,5.53,5.06,100.0,70.59,41.18,29.41,29.41,29.41,41.18,2.18,2.18,3.78,3.97,2.28,2.3,1.34,2.59,3.1,1.47,2.1,1.72,1.56,2.04,2.26,1.81,1.24,1.81,2.93,1.37,2.72,3.17,1.49,2.21,1.75,1.61,2.0,2.3,1.82,1.29,1.8,2.93,0.18,1.47,2.77,107.35,0.0,2.71,6.06,0.52,54.58,0.94,3.29,12.0,13.24,6.35,0.17,0.17,0.0,55.12,0.29,14.53,9.64,4.88,17.29,1.66,2.12
Lorient,16,8,8,0.12,1.38,1.62,80.12,0.0,2.12,2.88,0.0,43.62,0.75,0.75,10.25,14.12,5.88,1.75,2.12,0.12,0.12,0.0,43.0,0.0,13.25,8.12,5.12,14.5,1.51,2.12,0.0,1.25,1.88,91.75,0.25,2.25,3.38,0.38,37.62,0.88,1.5,10.0,14.75,8.12,1.75,0.25,0.0,0.0,0.0,43.88,0.12,10.62,8.0,2.62,15.5,1.13,2.0,2.94,8.31,2.94,0.88,0.31,1.06,0.69,1.75,1.19,3.62,4.19,93.75,81.25,43.75,37.5,12.5,12.5,50.0,3.96,4.01,3.76,3.82,4.26,4.49,1.35,2.69,3.06,1.45,2.0,1.75,1.67,2.2,2.13,1.68,1.26,1.9,3.14,1.41,2.83,2.98,1.47,2.09,1.81,1.73,2.17,2.12,1.68,1.34,1.96,3.16,0.06,1.32,1.75,85.94,0.12,2.18,3.13,0.19,40.62,0.82,1.12,10.12,14.43,7.0,0.06,0.06,0.0,43.44,0.06,11.93,8.06,3.87,15.0,1.32,2.06
Metz,16,8,8,0.0,1.12,2.62,76.25,-0.25,1.38,4.12,0.25,37.62,0.25,1.5,12.0,11.5,8.12,1.25,0.88,0.25,0.25,0.0,46.5,0.12,9.0,5.88,3.12,16.25,1.06,1.25,0.12,1.25,2.0,75.75,0.0,1.88,4.12,0.5,29.12,0.5,2.12,10.0,11.5,9.88,3.38,1.25,0.12,0.12,0.0,51.0,0.25,8.88,5.62,3.25,16.12,1.0,1.5,3.38,9.38,3.38,0.81,0.5,1.31,0.75,2.06,1.31,4.56,4.81,93.75,81.25,62.5,43.75,31.25,12.5,50.0,4.63,4.84,4.14,4.43,5.7,6.51,1.31,2.51,3.3,1.53,2.06,1.73,1.59,2.08,2.23,1.79,1.21,1.77,2.82,1.37,2.54,3.17,1.57,2.15,1.77,1.59,1.99,2.32,1.83,1.29,1.73,2.8,0.06,1.18,2.31,76.0,-0.12,1.63,4.12,0.38,33.37,0.38,1.81,11.0,11.5,9.0,0.18,0.18,0.0,48.75,0.18,8.94,5.75,3.18,16.19,1.03,1.38
Monaco,17,9,8,0.22,1.44,1.67,106.33,0.11,2.44,4.67,0.22,47.89,0.67,2.11,11.89,12.33,7.0,1.67,1.89,0.33,0.33,0.0,52.44,0.33,13.0,8.78,4.22,19.78,1.47,1.78,0.12,2.0,1.75,108.75,0.38,3.5,4.62,0.12,51.62,1.38,2.12,14.25,10.88,7.0,1.88,1.25,0.12,0.12,0.0,54.0,0.25,11.88,8.0,3.88,20.25,1.4,3.12,3.35,8.94,3.35,0.71,0.59,1.18,0.88,2.06,1.29,3.94,3.65,100.0,64.71,58.82,52.94,29.41,11.76,64.71,2.05,2.08,4.3,4.31,2.05,2.21,1.25,2.26,3.63,1.62,2.36,1.57,1.56,2.01,2.27,1.8,1.15,1.56,2.35,1.35,2.27,3.26,1.68,2.46,1.61,1.59,1.99,2.32,1.83,,1.57,2.4,0.17,1.7,1.71,107.47,0.24,2.94,4.65,0.17,49.65,1.0,2.11,13.0,11.65,7.0,0.23,0.23,0.0,53.17,0.29,12.47,8.41,4.06,20.0,1.44,2.41
Nantes,16,8,8,0.12,0.75,1.75,83.5,0.12,1.5,3.12,0.62,33.88,0.75,1.38,11.12,12.88,9.75,1.88,1.0,0.0,0.0,0.0,42.75,0.0,10.75,7.75,3.0,19.38,1.14,1.5,0.25,1.12,1.12,71.5,0.12,2.12,3.12,0.38,25.25,0.88,2.0,11.88,14.0,9.12,1.62,0.75,0.0,0.0,0.0,42.0,0.12,8.75,6.5,2.25,19.5,0.9,1.88,2.62,9.75,2.62,0.38,0.69,0.94,0.62,1.56,1.06,5.31,4.44,93.75,68.75,43.75,25.0,12.5,6.25,50.0,4.6,5.22,3.86,4.02,4.98,5.42,1.36,2.75,3.01,1.43,1.92,1.85,1.52,1.97,2.4,1.87,1.27,1.93,3.18,1.39,2.83,3.07,1.46,2.01,1.88,1.55,1.91,2.41,1.91,1.31,1.93,3.14,0.18,0.94,1.44,77.5,0.12,1.81,3.12,0.5,29.56,0.82,1.69,11.5,13.44,9.43,0.0,0.0,0.0,42.38,0.06,9.75,7.12,2.62,19.44,1.02,1.69
